1411306432|2014|09|21|15|33|52|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306475|2014|09|21|15|34|35|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306476|2014|09|21|15|34|36|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306476|2014|09|21|15|34|36|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306477|2014|09|21|15|34|37|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306477|2014|09|21|15|34|37|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306477|2014|09|21|15|34|37|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306477|2014|09|21|15|34|37|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306477|2014|09|21|15|34|37|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306477|2014|09|21|15|34|37|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306478|2014|09|21|15|34|38|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306478|2014|09|21|15|34|38|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306478|2014|09|21|15|34|38|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306478|2014|09|21|15|34|38|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306479|2014|09|21|15|34|39|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306483|2014|09|21|15|34|43|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306484|2014|09|21|15|34|44|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411306484|2014|09|21|15|34|44|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1411310044|2014|09|21|16|34|04|Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0|::1
1429039808|2015|04|14|21|30|08|Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36|127.0.0.1
1429039811|2015|04|14|21|30|11|Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36|127.0.0.1
1429039811|2015|04|14|21|30|11|Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36|127.0.0.1
1429039811|2015|04|14|21|30|11|Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36|127.0.0.1
1429039812|2015|04|14|21|30|12|Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36|127.0.0.1
